District,State,Hispanic,White,Black,AmericanIndian,Asian,PacificIslander,Other,Multiple races,Total
2,New York,"164,703","450,830","64,176",282,"28,725",61,"1,979","10,282","721,038"
3,New York,"74,127","497,044","22,376",598,"112,954",270,"5,259","9,136","721,764"
4,New York,"149,426","406,460","105,537",884,"48,429",0,"4,578","8,066","723,380"
5,New York,"164,851","81,102","367,744","1,819","107,031",61,"36,232","21,056","779,896"
6,New York,"138,234","255,434","28,387","1,213","298,968",101,"4,952","17,273","744,562"
7,New York,"305,367","233,192","56,066","1,026","139,117",208,"5,199","13,117","753,292"
8,New York,"137,928","183,275","385,520","1,372","46,251",138,"3,895","11,416","769,795"
9,New York,"93,908","236,761","358,633",386,"51,400",0,"3,569","14,568","759,225"
10,New York,"88,635","445,411","31,461","2,468","141,802",13,"3,352","15,181","728,323"
11,New York,"123,618","434,145","50,959",900,"98,316",313,"1,823","11,359","721,433"
12,New York,"99,792","476,668","30,611",839,"104,159",258,"2,461","19,158","733,946"
13,New York,"430,217","117,098","189,714",265,"33,199",357,"2,002","17,582","790,434"
14,New York,"342,485","166,040","69,884","1,066","127,013",203,"3,452","10,547","720,690"
15,New York,"503,654","23,845","210,596","2,146","13,079",0,"2,793","6,437","762,550"
16,New York,"186,045","279,193","227,425",886,"37,433",145,"7,823","9,773","748,723"
17,New York,"165,036","442,562","71,969","1,123","46,012",104,"2,916","12,829","742,551"
18,New York,"118,300","494,154","67,564","1,528","21,801",252,"2,941","13,728","720,268"
19,New York,"51,710","598,459","28,828",386,"11,380",318,783,"13,180","705,044"
20,New York,"46,037","555,060","61,162",731,"37,528",390,"4,840","21,468","727,216"
21,New York,"23,524","644,891","22,055","2,697","6,710",383,326,"10,256","710,842"
22,New York,"26,099","623,259","26,028","1,259","19,416",598,487,"14,245","711,391"
23,New York,"26,115","624,828","19,793","3,645","18,362",180,"1,204","14,245","708,372"
24,New York,"31,211","578,977","56,679","3,345","18,964",427,"2,176","17,180","708,959"
25,New York,"62,040","506,970","109,251","1,600","28,411",99,"1,127","13,458","722,956"
26,New York,"46,397","488,749","129,293","2,811","28,742",192,"2,670","15,904","714,758"
27,New York,"17,861","662,458","16,989","3,434","7,889",91,517,"8,555","717,794"
1,North Carolina,"64,413","252,914","379,068","5,024","11,191",437,443,"14,998","728,488"
2,North Carolina,"89,775","513,651","129,692","6,899","31,880",762,"1,842","21,699","796,200"
